genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews,PublisherId
genre fiction,HarperCollins Publishers,6832,6832,34160,20496,7000,Katherine Tegen Books,big five,4.57,4.88,1,9604,1
genre fiction,HarperCollins Publishers,2487.5,2487.5,12437.5,7462.5,6250,HarperCollins e-books,big five,4.47,1.99,2,450,2
genre fiction,"Amazon Digital Services,  Inc.",9559,9559,47795,28677,5500,(Small or Medium Publisher),small/medium,4.16,8.69,3,30,3
fiction,Hachette Book Group,8250,8250,41250,24750,5500,"Little, Brown and Company",big five,3.84,7.5,3,3747,4
genre fiction,Penguin Group (USA) LLC,7590.5,7590.5,37952.5,22771.5,4750,Dutton Children's,big five,4.75,7.99,4,9174,5
genre fiction,"Amazon Digital Services,  Inc.",12974,6986,19960,0,4000,Thomas & Mercer,amazon,4.05,4.99,5,40,6
genre fiction,HarperCollins Publishers,5498.334,5498.334,27491.67,16495.002,3933,Katherine Tegen Books,big five,3.16,6.99,6,7026,7
nonfiction,Hachette Book Group,5236.4,5236.4,26182,15709.2,3800,Center Street,big five,4.31,6.89,8,369,8
genre fiction,HarperCollins Publishers,5218.734,5218.734,26093.67,15656.202,3733,Katherine Tegen Books,big five,4.58,6.99,9,5926,9
genre fiction,Random House LLC,4758.468,4758.468,23792.34,14275.404,3666,Doubleday,big five,4.52,6.49,10,7132,10
genre fiction,"Amazon Digital Services,  Inc.",11676.6,6287.4,17964,0,3600,Thomas & Mercer,amazon,4.51,4.99,11,39,11
fiction,Penguin Group (USA) LLC,4312.8,4312.8,21564,12938.4,3600,Putnam Adult,big five,4.31,5.99,11,5113,12
genre fiction,"Amazon Digital Services,  Inc.",2230.371,1200.969,3431.34,0,3466,(Indie Publisher),indie,4.11,0.99,13,182,13
genre fiction,HarperCollins Publishers,1379.468,1379.468,6897.34,4138.404,3466,William Morrow Paperbacks,big five,4.59,1.99,13,2508,14
genre fiction,Random House LLC,4359.564,4359.564,21797.82,13078.692,3333,Knopf Books for Young Readers,big five,4.64,6.54,15,7953,15
genre fiction,"Amazon Digital Services,  Inc.",10593.271,5704.069,16297.34,0,3266,Thomas & Mercer,amazon,4.1,4.99,16,890,16
genre fiction,"Amazon Digital Services,  Inc.",10379.2,5588.8,15968,0,3200,Skyscape,amazon,4.5,4.99,17,36,17
genre fiction,"Amazon Digital Services,  Inc.",10379.2,5588.8,15968,0,3200,Amazon Publishing,amazon,3.87,4.99,17,16,18
genre fiction,Simon and Schuster Digital Sales Inc,1246.934,1246.934,6234.67,3740.802,3133,Simon & Schuster,big five,4.49,1.99,18,1734,19
genre fiction,"Amazon Digital Services,  Inc.",1972.971,1062.369,3035.34,0,3066,(Indie Publisher),indie,4.63,0.99,19,113,20
